1,太陽や電灯のように、自ら光を出す物体。,光源,太陽,光源,電球,放射
2,物体の表面で光がはね返ること。,光の反射,光の屈折,光の放射,光の反射,光の直進
3,光がまっすぐに進むこと。,光の直進,光の放射,光の直進,光の屈折,光の反射
4,入射した光と入射した面の垂線がつくる角。,入射角,入射角,反射角,乱反射,屈折角
5,反射した光と反射した面の垂線がつくる角。,反射角,屈折角,反射角,入射角,全反射
6,光が反射するとき入射角と反射角は等しいことを何というか？,反射の法則,入射の法則,屈折の法則,屈曲の法則,反射の法則
7,物体の表面に細かい凹凸があるとき、光はさまざまな方向に反射することを何というか？,乱反射,乱反射,全反射,内反射,鏡反射
8,透明な物体に光が出入りするとき、境界面に斜めに入射する光は境界面で曲がることを何というか？,光の屈折,光の屈曲,光の直進,光の屈折,光の反射
9,境界面に垂直な線と境界面で屈折した光のつくる角。,屈折角,入射角,反射角,乱反射,屈折角
10,透明な物体から光が出るとき、入射角が一定以上大きくなると、境界面で全ての光が反射することを何というか？,全反射,乱反射,全反射,内反射,鏡反射
11,凸レンズの軸に平行に進む光が、凸レンズから出た後に集まる点。,焦点,終点,視点,焦点,接点
12,凸レンズを通った光が１点に集まり、スクリーン上にできる像。,実像,実像,残像,虚像,映像
13,物体が焦点と凸レンズの間にあるとき、凸レンズをのぞくと同じ向きに見える像。,虚像,幻影,虚像,映像,実像
14,振動して音を出すもの。,音源,楽器,鳴源,振源,音源
15,音源の振動の中心からのはば。大きい音ほど大きい。,振幅,音幅,振幅,震幅,波幅
16,１秒間に音源が振動する回数。高い音ほど多い。,振動数,振動数,音源数,振源数,振幅数
17,振動数の単位,ヘルツ,フック,ホルツ,ヘルツ,メルツ
18,力の大きさの単位。,ニュートン,ガリレオ,ニュートン,フック,ボルト
19,ばねののびは、ばねに加わる力の大きさに比例することを何というか？,フックの法則,フックの法則,ニュートンの法則,ガリレオの法則,ケプラーの法則
20,場所が変わっても変化しない、物質そのものの量。,質量,重量,分量,容量,質量
21,物体に力がはたらいている点。,力の作用点,力の力点,力の作用点,力の支点,力の重点
,,,,,,
