1,めしべのもとのふくらんだ部分。,子房,胚珠,子房,果実,種子
2,受粉後、胚珠が成長したもので、子孫をふやすためのもの。,種子,子房,果実,種子,花粉
3,受粉後、成長して種子になる。,胚珠,胚珠,柱頭,子葉,おしべ
4,被子植物のめしべの柱頭や、裸子植物の胚珠に花粉がつくこと。,受粉,繁殖,受精,受粉,成熟
5,受粉後、子房が成長してできる。,果実,果実,種子,胚珠,柱頭
6,種子をつくる植物。,種子植物,シダ植物,コケ植物,観葉植物,種子植物
7,胚珠がむき出しになっている植物。,裸子植物,種子植物,裸子植物,被子植物,シダ植物
8,胚珠が子房の中にある植物。,被子植物,被子植物,裸子植物,シダ植物,コケ植物
9,子葉が１枚ある被子植物。,単子葉類,単葉植物,双子葉類,双葉植物,単子葉類
10,子葉が２枚ある被子植物。,双子葉類,双子葉類,双葉植物,単子葉類,単葉植物
11,花弁が１枚ずつ分かれている双子葉類。,離弁花類,合弁花類,離弁花類,単花弁類,多花弁類
12,花弁が１枚につながっている双子葉類。,合弁花類,単花弁類,多花弁類,合弁花類,離弁花類
13,種子をつくらない植物のなかで、維管束があり、葉、茎、根の区別がある植物。,シダ植物,コケ植物,裸子植物,シダ植物,被子植物
14,種子をつくらない植物のなかで、維管束がなく、葉、茎、根の区別がない植物。,コケ植物,裸子植物,シダ植物,被子植物,コケ植物
15,シダ植物やコケ植物がつくる、子孫をふやすためのもの。,胞子,花粉,酵母,種子,胞子
16,背骨のある動物を何といいますか。,セキツイ動物,無セキツイ動物,セキツイ動物,背骨動物,せきずい動物
17,背骨のない動物を何といいますか。,無セキツイ動物,せきずい動物,セキツイ動物,無セキツイ動物,背骨動物
18,親が卵をうみ、卵から子がかえるうまれ方を何といいますか。,卵生,育生,卵生,胎生,母生
19,子が、母親の体内である程度育ってからうまれるうまれ方を何といいますか。,胎生,卵生,母生,育生,胎生
20,環境の温度が変化しても、体温がほとんど変化しない動物を何といいますか。,恒温動物,恒温動物,一定動物,高温動物,定温動物
21,環境の温度の変化にともなって体温が変化する動物を何といいますか。,変温動物,変化動物,温度動物,低温動物,変温動物
22,セキツイ動物のなかまで、幼生はえらで呼吸し、成体は肺と皮膚で呼吸するなかまを何といいますか。,両生類,哺乳類,は虫類,魚類,両生類
23,セキツイ動物のなかまで、変温動物で陸上に殻のある卵をうむなかまを何といいますか。,は虫類,鳥類,は虫類,両生類,哺乳類
24,セキツイ動物のなかまで、からだが羽毛におおわれているなかまを何といいますか。,鳥類,は虫類,鳥類,両生類,哺乳類
